Sales date,Location,"# Txns",Payments,Refunds,Fees,Withholdings,Settled date(s),External,Payouts
04/25/2025,Biryani City,34,2108.0,0.0,65.75,0.0,[04/27/2025],0.0,2042.25
04/26/2025,Biryani City,48,2432.8,0.0,72.84,0.0,[04/28/2025],0.0,2359.96
04/27/2025,Biryani City,42,2028.1,0.0,61.92,0.0,[04/29/2025],0.0,1966.18
04/28/2025,Biryani City,20,785.99,0.0,23.72,0.0,[04/30/2025],0.0,762.27
04/29/2025,Biryani City,38,1500.1,0.0,43.94,0.0,[05/01/2025],0.0,1456.16
04/30/2025,Biryani City,24,758.49,0.0,23.86,0.0,[05/02/2025],0.0,734.63
05/01/2025,Biryani City,16,576.17,0.0,18.22,0.0,[05/03/2025],0.0,557.95
05/02/2025,Biryani City,57,1918.19,0.0,58.73,0.0,[05/04/2025],0.0,1859.46
05/03/2025,Biryani City,45,1826.55,0.0,50.82,0.0,[05/05/2025],0.0,1775.73
05/04/2025,Biryani City,47,2399.27,0.0,64.4,0.0,[05/06/2025],0.0,2334.87
05/05/2025,Biryani City,20,494.43,0.0,15.84,0.0,[05/07/2025],0.0,478.59
05/06/2025,Biryani City,32,1044.24,0.0,34.28,0.0,[05/08/2025],0.0,1009.96
05/07/2025,Biryani City,26,885.46,0.0,25.98,0.0,[05/09/2025],0.0,859.48
05/08/2025,Biryani City,33,1435.82,0.0,50.94,0.0,[05/10/2025],0.0,1384.88
05/09/2025,Biryani City,45,1638.93,0.0,48.15,0.0,[05/11/2025],0.0,1590.78
05/10/2025,Biryani City,41,2040.69,0.0,65.03,0.0,[05/12/2025],0.0,1975.66
05/11/2025,Biryani City,48,2914.09,0.0,77.4,0.0,[05/13/2025],0.0,2836.69
05/12/2025,Biryani City,20,719.12,0.0,22.97,0.0,[05/14/2025],0.0,696.15
05/13/2025,Biryani City,34,1215.72,0.0,36.8,0.0,[05/15/2025],0.0,1178.92
05/14/2025,Biryani City,23,909.22,0.0,27.58,0.0,[05/16/2025],0.0,881.64
05/15/2025,Biryani City,27,872.99,0.0,26.16,0.0,[05/17/2025],0.0,846.83
05/16/2025,Biryani City,49,1859.27,0.0,56.09,0.0,[05/18/2025],0.0,1803.18
05/17/2025,Biryani City,61,2641.3,0.0,83.31,0.0,[05/19/2025],0.0,2557.99
05/18/2025,Biryani City,56,2296.5,0.0,67.18,0.0,[05/20/2025],0.0,2229.32
05/19/2025,Biryani City,24,1018.43,0.0,31.86,0.0,[05/21/2025],0.0,986.57
05/20/2025,Biryani City,37,1590.59,0.0,51.75,0.0,[05/22/2025],0.0,1538.84
05/21/2025,Biryani City,39,1199.38,0.0,38.92,0.0,[05/23/2025],0.0,1160.46
05/22/2025,Biryani City,17,622.86,0.0,21.69,0.0,[05/24/2025],0.0,601.17
05/23/2025,Biryani City,65,2564.73,0.0,72.3,0.0,[05/25/2025],0.0,2492.43
05/24/2025,Biryani City,47,2667.7,0.0,78.44,0.0,[05/26/2025],0.0,2589.26
05/25/2025,Biryani City,28,1625.53,0.0,47.22,0.0,[05/27/2025],0.0,1578.31
05/26/2025,Biryani City,38,1905.27,0.0,58.8,0.0,[05/28/2025],0.0,1846.47
05/27/2025,Biryani City,31,1065.84,0.0,33.08,0.0,[05/29/2025],0.0,1032.76
05/28/2025,Biryani City,31,1193.42,0.0,36.94,0.0,[05/30/2025],0.0,1156.48
05/29/2025,Biryani City,38,1383.18,0.0,44.92,0.0,[05/31/2025],0.0,1338.26
05/30/2025,Biryani City,38,1616.3,0.0,51.23,0.0,[06/01/2025],0.0,1565.07
05/31/2025,Biryani City,45,1996.62,0.0,47.64,0.0,[06/02/2025],0.0,1948.98
06/01/2025,Biryani City,43,2010.81,0.0,64.84,0.0,[06/03/2025],0.0,1945.97
06/02/2025,Biryani City,35,2257.8,0.0,65.83,0.0,[06/04/2025],0.0,2191.97
06/03/2025,Biryani City,26,915.48,0.0,28.24,0.0,[06/05/2025],0.0,887.24
06/04/2025,Biryani City,25,1241.78,0.0,39.31,0.0,[06/06/2025],0.0,1202.47
06/05/2025,Biryani City,30,1061.47,0.0,35.26,0.0,[06/07/2025],0.0,1026.21
06/06/2025,Biryani City,43,1646.03,0.0,50.42,0.0,[06/08/2025],0.0,1595.61
06/07/2025,Biryani City,46,2108.18,0.0,59.63,0.0,[06/09/2025],0.0,2048.55
06/08/2025,Biryani City,33,1510.14,0.0,49.89,0.0,[06/10/2025],0.0,1460.25
06/09/2025,Biryani City,27,1182.01,0.0,38.89,14.99,[06/11/2025],0.0,1128.13
06/10/2025,Biryani City,22,892.11,0.0,26.08,0.0,[06/12/2025],0.0,866.03
06/11/2025,Biryani City,25,833.07,0.0,25.74,0.0,[06/13/2025],0.0,807.33
06/12/2025,Biryani City,22,708.4,0.0,22.77,0.0,[06/14/2025],0.0,685.63
06/13/2025,Biryani City,47,1984.11,0.0,56.34,0.0,[06/15/2025],0.0,1927.77
06/14/2025,Biryani City,57,2509.74,0.0,78.8,0.0,[06/16/2025],0.0,2430.94
06/15/2025,Biryani City,48,2465.08,0.0,72.84,0.0,[06/17/2025],0.0,2392.24
06/16/2025,Biryani City,23,882.21,0.0,26.68,0.0,[06/18/2025],0.0,855.53
06/17/2025,Biryani City,33,1517.51,0.0,49.39,0.0,[06/19/2025],0.0,1468.12
06/18/2025,Biryani City,30,1156.63,0.0,33.14,13.51,[06/20/2025],0.0,1109.98
06/19/2025,Biryani City,31,1388.46,0.0,42.98,0.0,[06/21/2025],0.0,1345.48
06/20/2025,Biryani City,45,1731.44,0.0,55.91,0.0,[06/22/2025],0.0,1675.53
06/21/2025,Biryani City,40,1737.98,0.0,54.81,0.0,[06/23/2025],0.0,1683.17
06/22/2025,Biryani City,37,2072.21,0.0,64.65,0.0,[06/24/2025],0.0,2007.56
06/23/2025,Biryani City,31,972.97,0.0,31.86,0.0,[06/25/2025],0.0,941.11
06/24/2025,Biryani City,20,590.84,0.0,19.12,0.0,[06/26/2025],0.0,571.72
06/25/2025,Biryani City,22,713.3,0.0,22.48,0.0,[06/27/2025],0.0,690.82
06/26/2025,Biryani City,17,624.68,0.0,19.3,0.0,[06/28/2025],0.0,605.38
06/27/2025,Biryani City,48,2391.09,0.0,73.74,0.0,[06/29/2025],0.0,2317.35
06/28/2025,Biryani City,46,1574.78,0.0,47.31,0.0,[06/30/2025],0.0,1527.47
06/29/2025,Biryani City,31,1317.47,0.0,42.41,0.0,[07/01/2025],0.0,1275.06
06/30/2025,Biryani City,32,1362.43,0.0,41.97,0.0,[07/02/2025],0.0,1320.46
07/01/2025,Biryani City,28,1297.27,0.0,39.19,0.0,[07/03/2025],0.0,1258.08
07/02/2025,Biryani City,34,1180.59,0.0,36.43,0.0,[07/04/2025],0.0,1144.16
